INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,FASE IDEAL,DEFA,ANO,FASE
5.669,5.0,2.8,4.3,8.8,7.5,7.439999999999998,6.875,Fase 4 (9º ano),-1,22,3.0
6.943,10.0,7.4,6.7,7.9,4.4,7.513999999999985,5.708,Fase 3 (7º e 8º ano),0,22,3.0
5.372,5.0,4.1,3.8,9.6,7.5,6.153999999999993,4.833,Fase 4 (9º ano),-1,22,3.0
7.101,10.0,5.0,8.8,8.3,7.5,7.275999999999998,5.167,Fase 3 (7º e 8º ano),0,22,3.0
4.936,2.5,5.8,4.8,0.0,7.5,6.743999999999994,5.708,Fase 6 (2º EM),-3,22,3.0
6.667,5.0,6.1,7.1,7.5,7.5,7.435999999999998,6.417,Fase 4 (9º ano),-1,22,3.0
4.499,5.0,6.0,4.8,0.0,5.6,5.289999999999995,3.75,Fase 4 (9º ano),-1,22,3.0
4.44,5.0,3.4,5.1,0.0,7.5,6.0660000000000025,4.417,Fase 4 (9º ano),-1,22,3.0
8.465,10.0,7.6,8.8,9.2,7.5,8.233999999999995,8.458,Fase 3 (7º e 8º ano),0,22,3.0
7.268,5.0,6.2,8.4,9.6,7.5,7.463999999999986,6.958,Fase 4 (9º ano),-1,22,3.0
7.209,10.0,3.5,8.7,9.6,7.5,6.923999999999992,6.833,Fase 3 (7º e 8º ano),0,22,3.0
4.87,5.0,4.3,6.1,0.0,7.5,5.149999999999997,5.125,Fase 5 (1º EM),-2,22,3.0
7.172,10.0,7.8,5.8,6.7,7.5,7.236000000000002,6.542,Fase 3 (7º e 8º ano),0,22,3.0
7.502,10.0,7.0,8.5,7.9,7.5,7.453999999999992,5.583,Fase 3 (7º e 8º ano),0,22,3.0
7.397,5.0,7.1,8.5,7.9,7.5,7.786,7.292,Fase 5 (1º EM),-2,22,3.0
6.1,5.0,4.0,7.3,6.3,7.5,7.349999999999994,6.125,Fase 4 (9º ano),-1,22,3.0
5.942,2.5,3.5,6.9,8.8,7.5,7.0699999999999985,6.375,Fase 6 (2º EM),-3,22,3.0
7.028,10.0,6.5,8.1,0.0,7.5,7.913999999999994,7.833,Fase 3 (7º e 8º ano),0,22,3.0
6.892,5.0,5.2,8.5,9.6,7.5,7.42,6.0,Fase 4 (9º ano),-1,22,3.0
5.604,5.0,6.2,4.6,7.1,7.5,5.005999999999995,4.917,Fase 5 (1º EM),-2,22,3.0
4.966,10.0,3.1,4.6,0.0,7.5,5.594000000000001,5.583,Fase 3 (7º e 8º ano),0,22,3.0
5.671,10.0,2.6,4.3,9.6,7.5,6.060000000000008,4.875,Fase 3 (7º e 8º ano),0,22,3.0
