DEFAS,PORTUG,MATEM,INGLÊS,INDE_22,IPS,IEG,IDA,IPV,IAA,IAN,FASE,TURMA,ANO_INGRESSO,INSTITUIÇÃO_DE_ENSINO,PEDRA_22
-1,0.7,1.2,2.9,4.786,6.3,4.6,1.6,6.278,7.1,5.0,7,A,2018,Escola Pública,Quartzo
0,6.3,5.0,8.7,8.155,5.6,8.9,6.7,8.5,9.2,10.0,3,B,2016,Rede Decisão,Topázio
-1,6.5,4.7,2.1,7.357,9.4,8.3,4.4,7.792,10.0,5.0,4,L,2018,Escola Pública,Ametista
-1,6.3,7.3,5.7,7.897,6.9,10.0,6.4,8.667,8.8,5.0,3,N,2022,Escola Pública,Ametista
0,6.8,4.7,5.5,6.922,6.9,7.7,5.7,6.0,6.7,10.0,4,A,2019,Escola Pública,Ágata
0,5.5,4.0,6.3,6.973,7.5,6.9,4.8,6.889,9.0,10.0,2,F,2022,Escola Pública,Ágata
0,4.4,7.8,6.3,7.587,7.5,7.8,6.1,7.417,10.0,10.0,0,M,2022,Escola Pública,Ametista
0,3.0,5.8,6.3,6.985,7.5,7.5,4.4,6.583,10.0,10.0,0,H,2022,Escola Pública,Ágata
-1,5.0,8.0,6.3,6.71,5.0,8.7,6.5,6.389,9.5,5.0,1,A,2022,Escola Pública,Ágata
0,4.0,5.8,6.9,6.591,5.6,7.9,5.6,7.556,0.0,10.0,7,A,2016,Rede Decisão,Ágata
0,7.5,6.0,8.3,8.218,4.4,9.7,7.3,8.292,8.8,10.0,3,B,2021,Rede Decisão,Topázio
0,6.3,9.3,6.3,8.012,7.5,7.9,7.8,8.444,8.0,10.0,2,U,2019,Escola Pública,Ametista
-1,7.7,8.5,6.3,7.382,5.6,8.5,8.1,7.75,9.0,5.0,0,J,2021,Rede Decisão,Ametista
-3,4.8,4.0,1.7,5.942,7.5,6.9,3.5,6.375,8.8,2.5,3,D,2019,Escola Pública,Quartzo
-1,6.2,9.6,6.3,7.598,7.5,7.5,7.9,8.5,10.0,5.0,0,M,2022,Escola Pública,Ametista
-1,8.5,6.0,6.3,7.413,7.5,8.8,7.3,7.722,8.5,5.0,1,A,2022,Escola Pública,Ametista
-2,6.0,6.5,6.3,6.98,7.5,7.2,6.3,7.417,10.0,5.0,0,Q,2022,Escola Pública,Ágata
-1,6.2,2.2,6.3,6.301,6.9,7.9,4.2,6.167,10.0,5.0,1,G,2021,Escola Pública,Ágata
0,5.7,4.7,10.0,7.04,7.5,5.6,6.8,5.944,8.8,10.0,3,N,2021,Escola Pública,Ametista
0,8.6,9.5,6.3,8.121,6.3,8.7,9.0,7.5,9.5,10.0,0,R,2022,Escola Pública,Topázio
-1,8.2,8.0,6.3,7.911,7.5,9.1,8.1,8.333,9.0,5.0,0,L,2022,Escola Pública,Ametista
-1,7.0,5.0,6.3,6.962,5.6,8.8,6.0,7.333,8.5,5.0,1,E,2022,Escola Pública,Ágata
-1,7.0,6.5,6.3,6.996,7.5,7.4,6.8,7.25,9.0,5.0,1,U,2022,Escola Pública,Ágata
0,3.2,2.3,6.3,6.986,7.5,8.8,2.8,7.333,8.5,10.0,2,A,2021,Escola Pública,Ágata
-1,10.0,6.0,6.3,8.428,7.5,10.0,8.0,9.556,10.0,5.0,2,L,2022,Escola Pública,Topázio
-1,7.7,6.5,7.3,7.29,5.0,8.3,7.1,7.625,9.2,5.0,5,K,2017,Rede Decisão,Ametista
-1,6.0,4.0,6.3,6.323,7.5,6.5,5.0,6.125,9.2,5.0,4,H,2022,Escola Pública,Ágata
-2,6.8,2.3,6.3,6.35,7.5,6.5,4.6,7.111,9.0,5.0,2,M,2022,Escola Pública,Ágata
0,6.8,5.0,6.0,6.806,7.5,6.9,5.9,5.625,6.7,10.0,3,K,2019,Escola Pública,Ágata
-1,2.0,3.0,6.3,6.245,7.5,8.5,2.5,6.778,8.0,5.0,2,M,2022,Escola Pública,Ágata
0,8.0,9.5,6.3,8.75,7.5,10.0,8.8,8.167,9.5,10.0,2,F,2019,Escola Pública,Topázio
0,2.8,2.2,6.3,4.28,7.5,3.1,2.5,2.5,9.0,10.0,0,E,2021,Escola Pública,Quartzo
-1,4.5,5.0,6.3,6.287,7.5,5.6,4.8,7.167,9.0,5.0,2,Q,2021,Escola Pública,Ágata
-2,9.0,4.5,6.3,6.309,5.6,7.5,6.8,5.583,8.5,5.0,1,F,2022,Escola Pública,Ágata
-1,6.8,4.7,2.5,6.607,7.5,6.8,4.7,7.375,8.8,5.0,4,F,2021,Escola Pública,Ágata
0,4.0,5.0,6.3,7.175,7.5,8.1,4.5,6.778,9.0,10.0,2,M,2022,Escola Pública,Ametista
0,7.2,7.0,10.0,8.253,6.3,9.0,8.1,7.542,9.2,10.0,4,L,2020,Escola Pública,Topázio
-2,8.3,7.7,6.3,8.079,7.5,9.9,8.0,8.167,10.0,5.0,1,D,2022,Escola Pública,Topázio
0,6.5,4.5,10.0,8.404,7.5,10.0,7.0,8.25,10.0,10.0,5,B,2019,Rede Decisão,Topázio
-1,9.7,10.0,6.3,8.465,7.5,9.2,9.8,9.5,8.0,5.0,1,A,2020,Rede Decisão,Topázio
-1,7.3,6.5,6.3,7.451,7.5,8.8,6.9,8.167,8.0,5.0,1,U,2022,Escola Pública,Ametista
-1,2.7,5.3,6.3,5.335,7.5,6.2,4.0,6.944,0.0,5.0,1,D,2021,Escola Pública,Quartzo
-1,9.5,7.5,6.3,7.585,7.5,8.6,8.5,6.611,9.5,5.0,2,M,2022,Escola Pública,Ametista
0,5.7,3.7,6.3,6.599,7.5,6.2,4.7,6.444,7.9,10.0,2,M,2022,Escola Pública,Ágata
-1,1.7,5.7,5.0,5.372,7.5,3.8,4.1,4.833,9.6,5.0,3,B,2020,Escola Pública,Quartzo
-1,9.7,7.2,6.3,7.381,5.6,8.5,8.4,7.778,8.0,5.0,1,K,2020,Escola Pública,Ametista
0,6.3,3.7,6.3,7.398,7.5,9.1,5.0,6.889,8.5,10.0,1,K,2020,Escola Pública,Ametista
